num_i2v,name
1598,ASC_Sequoia.IRSmk.ll
286,BenchmarkGame.fannkuch.ll
469,BenchmarkGame.n-body.ll
132,BenchmarkGame.nsieve-bits.ll
235,BenchmarkGame.puzzle.ll
185,BenchmarkGame.recursive.ll
262,BenchmarkGame.spectral-norm.ll
575,BitBench.drop3.ll
472,BitBench.five11.ll
382,BitBench.uudecode.ll
1267,CAPBenchmarks.FAST.ll
812,CAPBenchmarks.GF.ll
1325,CAPBenchmarks.IS.ll
1244,CAPBenchmarks.LU.ll
2839,CAPBenchmarks.RT.ll
796,cBench.automotive_bitcount.ll
446,cBench.network_dijkstra.ll
1169,cBench.network_patricia.ll
1129,cBench.office_stringsearch1.ll
462,cBench.telecom_adpcm_c.ll
209,cBench.telecom_CRC32.ll
849,CoyoteBench.almabench.ll
1699,CoyoteBench.fftbench.ll
850,CoyoteBench.huffbench.ll
823,CoyoteBench.lpbench.ll
533,Dhrystone.fldry.ll
2436,DOE_ProxyApps_C.XSBench.ll
1444,Fhourstones.Fhourstones.ll
1415,FreeBench.distray.ll
2174,FreeBench.fourinarow.ll
693,FreeBench.mason.ll
1681,FreeBench.pcompress2.ll
2639,Linpack.Linpack.ll
407,llubenchmark.llubenchmark.ll
612,McCat.01-qbsort.ll
446,McCat.03-testtrie.ll
661,McCat.04-bisect.ll
2815,McCat.08-main.ll
4186,McCat.09-vor.ll
486,McCat.15-trie.ll
489,McCat.17-bintr.ll
1025,McGill.chomp.ll
680,McGill.exptree.ll
344,McGill.queens.ll
432,mediabench.adpcm-rawcaudio.ll
432,mediabench.adpcm-rawdaudio.ll
13082,mediabench.mpeg2-dec.ll
8060,minisat.minisat.ll
95,Misc.dt.ll
442,Misc.evalloop.ll
682,Misc.ffbench.ll
191,Misc.flops-1.ll
199,Misc.flops-3.ll
235,Misc.flops-4.ll
254,Misc.flops-5.ll
254,Misc.flops-6.ll
188,Misc.flops-7.ll
258,Misc.flops-8.ll
114,Misc.fp-convert.ll
159,Misc.lowercase.ll
160,Misc.mandel-2.ll
760,Misc.matmul_f64_4x4.ll
134,Misc.pi.ll
184,Misc.revertBits.ll
664,Misc.richards_benchmark.ll
837,Misc.whetstone.ll
645,Olden.bisort.ll
1296,Olden.em3d.ll
1081,Olden.health.ll
949,Olden.mst.ll
839,Olden.perimeter.ll
1782,Olden.power.ll
169,Olden.treeadd.ll
18576,PAQ8p.PAQ8p.ll
498,PolyBench.datamining-covariance.ll
509,PolyBench.linear-algebra-blas-gemm.ll
658,PolyBench.linear-algebra-blas-gemver.ll
538,PolyBench.linear-algebra-blas-symm.ll
443,PolyBench.linear-algebra-blas-syrk.ll
431,PolyBench.linear-algebra-blas-trmm.ll
641,PolyBench.linear-algebra-kernels-2mm.ll
723,PolyBench.linear-algebra-kernels-3mm.ll
434,PolyBench.linear-algebra-kernels-atax.ll
