num_i2v,name
1598,ASC_Sequoia.IRSmk_seq.csv
286,BenchmarkGame.fannkuch_seq.csv
469,BenchmarkGame.n-body_seq.csv
132,BenchmarkGame.nsieve-bits_seq.csv
235,BenchmarkGame.puzzle_seq.csv
185,BenchmarkGame.recursive_seq.csv
262,BenchmarkGame.spectral-norm_seq.csv
575,BitBench.drop3_seq.csv
472,BitBench.five11_seq.csv
382,BitBench.uudecode_seq.csv
1267,CAPBenchmarks.FAST_seq.csv
812,CAPBenchmarks.GF_seq.csv
1325,CAPBenchmarks.IS_seq.csv
1244,CAPBenchmarks.LU_seq.csv
2839,CAPBenchmarks.RT_seq.csv
796,cBench.automotive_bitcount_seq.csv
446,cBench.network_dijkstra_seq.csv
1169,cBench.network_patricia_seq.csv
1129,cBench.office_stringsearch1_seq.csv
462,cBench.telecom_adpcm_c_seq.csv
209,cBench.telecom_CRC32_seq.csv
849,CoyoteBench.almabench_seq.csv
1699,CoyoteBench.fftbench_seq.csv
850,CoyoteBench.huffbench_seq.csv
823,CoyoteBench.lpbench_seq.csv
533,Dhrystone.fldry_seq.csv
2436,DOE_ProxyApps_C.XSBench_seq.csv
1444,Fhourstones.Fhourstones_seq.csv
1415,FreeBench.distray_seq.csv
2174,FreeBench.fourinarow_seq.csv
693,FreeBench.mason_seq.csv
1681,FreeBench.pcompress2_seq.csv
2639,Linpack.Linpack_seq.csv
407,llubenchmark.llubenchmark_seq.csv
612,McCat.01-qbsort_seq.csv
446,McCat.03-testtrie_seq.csv
661,McCat.04-bisect_seq.csv
2815,McCat.08-main_seq.csv
4186,McCat.09-vor_seq.csv
486,McCat.15-trie_seq.csv
489,McCat.17-bintr_seq.csv
1025,McGill.chomp_seq.csv
680,McGill.exptree_seq.csv
344,McGill.queens_seq.csv
432,mediabench.adpcm-rawcaudio_seq.csv
432,mediabench.adpcm-rawdaudio_seq.csv
13082,mediabench.mpeg2-dec_seq.csv
8060,minisat.minisat_seq.csv
95,Misc.dt_seq.csv
442,Misc.evalloop_seq.csv
682,Misc.ffbench_seq.csv
191,Misc.flops-1_seq.csv
199,Misc.flops-3_seq.csv
235,Misc.flops-4_seq.csv
254,Misc.flops-5_seq.csv
254,Misc.flops-6_seq.csv
188,Misc.flops-7_seq.csv
258,Misc.flops-8_seq.csv
114,Misc.fp-convert_seq.csv
159,Misc.lowercase_seq.csv
160,Misc.mandel-2_seq.csv
760,Misc.matmul_f64_4x4_seq.csv
134,Misc.pi_seq.csv
184,Misc.revertBits_seq.csv
664,Misc.richards_benchmark_seq.csv
837,Misc.whetstone_seq.csv
645,Olden.bisort_seq.csv
1296,Olden.em3d_seq.csv
1081,Olden.health_seq.csv
949,Olden.mst_seq.csv
839,Olden.perimeter_seq.csv
1782,Olden.power_seq.csv
169,Olden.treeadd_seq.csv
18576,PAQ8p.PAQ8p_seq.csv
498,PolyBench.datamining-covariance_seq.csv
509,PolyBench.linear-algebra-blas-gemm_seq.csv
658,PolyBench.linear-algebra-blas-gemver_seq.csv
538,PolyBench.linear-algebra-blas-symm_seq.csv
443,PolyBench.linear-algebra-blas-syrk_seq.csv
431,PolyBench.linear-algebra-blas-trmm_seq.csv
641,PolyBench.linear-algebra-kernels-2mm_seq.csv
723,PolyBench.linear-algebra-kernels-3mm_seq.csv
434,PolyBench.linear-algebra-kernels-atax_seq.csv
485,PolyBench.linear-algebra-kernels-bicg_seq.csv
508,PolyBench.linear-algebra-kernels-doitgen_seq.csv
498,PolyBench.linear-algebra-kernels-mvt_seq.csv
579,PolyBench.linear-algebra-solvers-cholesky_seq.csv
765,PolyBench.linear-algebra-solvers-ludcmp_seq.csv
574,PolyBench.linear-algebra-solvers-lu_seq.csv
375,PolyBench.linear-algebra-solvers-trisolv_seq.csv
813,PolyBench.medley-deriche_seq.csv
398,PolyBench.medley-floyd-warshall_seq.csv
727,PolyBench.stencils-fdtd-2d_seq.csv
357,PolyBench.stencils-jacobi-1d_seq.csv
491,PolyBench.stencils-jacobi-2d_seq.csv
422,PolyBench.stencils-seidel-2d_seq.csv
14529,Prolangs-C.bison_seq.csv
3830,Prolangs-C.cdecl_seq.csv
5215,Prolangs-C.gnugo_seq.csv
997,Ptrdist.anagram_seq.csv
10968,Ptrdist.bc_seq.csv
1877,Ptrdist.ft_seq.csv
1529,Ptrdist.ks_seq.csv
7129,Ptrdist.yacr2_seq.csv
1725,rodinia.backprop_seq.csv
400,rodinia.bfs_seq.csv
6797,rodinia.b+tree_seq.csv
1139,rodinia.hotspot3D_seq.csv
1331,rodinia.hotspot_seq.csv
846,rodinia.kmeans_seq.csv
1178,rodinia.lud_seq.csv
373,rodinia.nn_seq.csv
341,rodinia.pathfinder_seq.csv
57,Shootout.ackermann_seq.csv
103,Shootout.ary3_seq.csv
209,Shootout.binary-trees_seq.csv
405,Shootout.fannkuch-redux_seq.csv
492,Shootout.fasta_seq.csv
45,Shootout.fib2_seq.csv
364,Shootout.hash_seq.csv
194,Shootout.heapsort_seq.csv
742,Shootout.lists_seq.csv
658,Shootout.mandelbrot_seq.csv
283,Shootout.matrix_seq.csv
213,Shootout.methcall_seq.csv
522,Shootout.n-body_seq.csv
245,Shootout.objinst_seq.csv
104,Shootout.pidigits_seq.csv
457,Shootout.regex-redux_seq.csv
85,Shootout.sieve_seq.csv
385,Shootout.spectral-norm_seq.csv
5209,sim.sim_seq.csv
6670,spiff.spiff_seq.csv
196,Stanford.Bubblesort_seq.csv
208,Stanford.FloatMM_seq.csv
201,Stanford.IntMM_seq.csv
715,Stanford.Oscar_seq.csv
959,Stanford.Puzzle_seq.csv
265,Stanford.Queens_seq.csv
252,Stanford.Quicksort_seq.csv
203,Stanford.RealMM_seq.csv
318,Stanford.Towers_seq.csv
314,Stanford.Treesort_seq.csv
184426,tramp3d-v4.tramp3d-v4_seq.csv
2342,Trimaran.enc-md5_seq.csv
585,Trimaran.enc-pc1_seq.csv
297,Trimaran.enc-rc4_seq.csv
202,Trimaran.netbench-crc_seq.csv
1065,Trimaran.netbench-url_seq.csv
3961,TSVC.ControlLoops-dbl_seq.csv
3991,TSVC.ControlLoops-flt_seq.csv
3618,TSVC.CrossingThresholds-dbl_seq.csv
3648,TSVC.CrossingThresholds-flt_seq.csv
3439,TSVC.Equivalencing-dbl_seq.csv
3976,TSVC.Expansion-dbl_seq.csv
4007,TSVC.Expansion-flt_seq.csv
3807,TSVC.GlobalDataFlow-flt_seq.csv
3516,TSVC.IndirectAddressing-dbl_seq.csv
3546,TSVC.IndirectAddressing-flt_seq.csv
3759,TSVC.InductionVariable-dbl_seq.csv
3789,TSVC.InductionVariable-flt_seq.csv
4075,TSVC.LinearDependence-dbl_seq.csv
4105,TSVC.LinearDependence-flt_seq.csv
3447,TSVC.LoopRerolling-dbl_seq.csv
3827,TSVC.LoopRestructuring-dbl_seq.csv
3533,TSVC.NodeSplitting-dbl_seq.csv
3255,TSVC.Packing-flt_seq.csv
3227,TSVC.Recurrences-dbl_seq.csv
4179,TSVC.Reductions-dbl_seq.csv
4209,TSVC.Reductions-flt_seq.csv
3166,TSVC.Searching-dbl_seq.csv
3196,TSVC.Searching-flt_seq.csv
3234,TSVC.StatementReordering-dbl_seq.csv
3264,TSVC.StatementReordering-flt_seq.csv
3406,TSVC.Symbolics-dbl_seq.csv
1893,VersaBench.beamformer_seq.csv
338,VersaBench.bmm_seq.csv
6033,VersaBench.dbms_seq.csv
484339,total
