num_nodes,name
42,ASC_Sequoia.IRSmk.yaml
45,BenchmarkGame.fannkuch.yaml
32,BenchmarkGame.n-body.yaml
20,BenchmarkGame.nsieve-bits.yaml
33,BenchmarkGame.puzzle.yaml
24,BenchmarkGame.recursive.yaml
36,BenchmarkGame.spectral-norm.yaml
66,BitBench.drop3.yaml
50,BitBench.five11.yaml
40,BitBench.uudecode.yaml
126,CAPBenchmarks.FAST.yaml
119,CAPBenchmarks.GF.yaml
178,CAPBenchmarks.IS.yaml
155,CAPBenchmarks.LU.yaml
211,CAPBenchmarks.RT.yaml
84,cBench.automotive_bitcount.yaml
57,cBench.network_dijkstra.yaml
158,cBench.network_patricia.yaml
189,cBench.office_stringsearch1.yaml
69,cBench.telecom_adpcm_c.yaml
29,cBench.telecom_CRC32.yaml
45,CoyoteBench.almabench.yaml
286,CoyoteBench.fftbench.yaml
124,CoyoteBench.huffbench.yaml
126,CoyoteBench.lpbench.yaml
73,Dhrystone.fldry.yaml
282,DOE_ProxyApps_C.XSBench.yaml
232,Fhourstones.Fhourstones.yaml
89,FreeBench.distray.yaml
441,FreeBench.fourinarow.yaml
92,FreeBench.mason.yaml
215,FreeBench.pcompress2.yaml
256,Linpack.Linpack.yaml
60,llubenchmark.llubenchmark.yaml
89,McCat.01-qbsort.yaml
69,McCat.03-testtrie.yaml
77,McCat.04-bisect.yaml
214,McCat.08-main.yaml
370,McCat.09-vor.yaml
83,McCat.15-trie.yaml
83,McCat.17-bintr.yaml
161,McGill.chomp.yaml
115,McGill.exptree.yaml
67,McGill.queens.yaml
63,mediabench.adpcm-rawcaudio.yaml
63,mediabench.adpcm-rawdaudio.yaml
2036,mediabench.mpeg2-dec.yaml
1265,minisat.minisat.yaml
14,Misc.dt.yaml
78,Misc.evalloop.yaml
92,Misc.ffbench.yaml
5,Misc.flops-1.yaml
5,Misc.flops-3.yaml
5,Misc.flops-4.yaml
5,Misc.flops-5.yaml
5,Misc.flops-6.yaml
5,Misc.flops-7.yaml
5,Misc.flops-8.yaml
17,Misc.fp-convert.yaml
25,Misc.lowercase.yaml
20,Misc.mandel-2.yaml
19,Misc.matmul_f64_4x4.yaml
8,Misc.pi.yaml
13,Misc.revertBits.yaml
86,Misc.richards_benchmark.yaml
94,Misc.whetstone.yaml
66,Olden.bisort.yaml
139,Olden.em3d.yaml
101,Olden.health.yaml
114,Olden.mst.yaml
122,Olden.perimeter.yaml
129,Olden.power.yaml
20,Olden.treeadd.yaml
2683,PAQ8p.PAQ8p.yaml
69,PolyBench.datamining-covariance.yaml
73,PolyBench.linear-algebra-blas-gemm.yaml
65,PolyBench.linear-algebra-blas-gemver.yaml
65,PolyBench.linear-algebra-blas-symm.yaml
65,PolyBench.linear-algebra-blas-syrk.yaml
57,PolyBench.linear-algebra-blas-trmm.yaml
89,PolyBench.linear-algebra-kernels-2mm.yaml
101,PolyBench.linear-algebra-kernels-3mm.yaml
57,PolyBench.linear-algebra-kernels-atax.yaml
59,PolyBench.linear-algebra-kernels-bicg.yaml
77,PolyBench.linear-algebra-kernels-doitgen.yaml
59,PolyBench.linear-algebra-kernels-mvt.yaml
89,PolyBench.linear-algebra-solvers-cholesky.yaml
109,PolyBench.linear-algebra-solvers-ludcmp.yaml
93,PolyBench.linear-algebra-solvers-lu.yaml
45,PolyBench.linear-algebra-solvers-trisolv.yaml
89,PolyBench.medley-deriche.yaml
60,PolyBench.medley-floyd-warshall.yaml
97,PolyBench.stencils-fdtd-2d.yaml
45,PolyBench.stencils-jacobi-1d.yaml
61,PolyBench.stencils-jacobi-2d.yaml
53,PolyBench.stencils-seidel-2d.yaml
2503,Prolangs-C.bison.yaml
701,Prolangs-C.cdecl.yaml
1065,Prolangs-C.gnugo.yaml
151,Ptrdist.anagram.yaml
1793,Ptrdist.bc.yaml
317,Ptrdist.ft.yaml
259,Ptrdist.ks.yaml
1228,Ptrdist.yacr2.yaml
158,rodinia.backprop.yaml
47,rodinia.bfs.yaml
831,rodinia.b+tree.yaml
114,rodinia.hotspot3D.yaml
102,rodinia.hotspot.yaml
114,rodinia.kmeans.yaml
185,rodinia.lud.yaml
52,rodinia.nn.yaml
50,rodinia.pathfinder.yaml
10,Shootout.ackermann.yaml
16,Shootout.ary3.yaml
23,Shootout.binary-trees.yaml
59,Shootout.fannkuch-redux.yaml
83,Shootout.fasta.yaml
8,Shootout.fib2.yaml
52,Shootout.hash.yaml
25,Shootout.heapsort.yaml
78,Shootout.lists.yaml
83,Shootout.mandelbrot.yaml
43,Shootout.matrix.yaml
21,Shootout.methcall.yaml
72,Shootout.n-body.yaml
32,Shootout.objinst.yaml
13,Shootout.pidigits.yaml
27,Shootout.regex-redux.yaml
21,Shootout.sieve.yaml
38,Shootout.spectral-norm.yaml
759,sim.sim.yaml
1256,spiff.spiff.yaml
29,Stanford.Bubblesort.yaml
32,Stanford.FloatMM.yaml
30,Stanford.IntMM.yaml
63,Stanford.Oscar.yaml
241,Stanford.Puzzle.yaml
40,Stanford.Queens.yaml
37,Stanford.Quicksort.yaml
30,Stanford.RealMM.yaml
42,Stanford.Towers.yaml
52,Stanford.Treesort.yaml
17555,tramp3d-v4.tramp3d-v4.yaml
39,Trimaran.enc-md5.yaml
26,Trimaran.enc-pc1.yaml
30,Trimaran.enc-rc4.yaml
30,Trimaran.netbench-crc.yaml
132,Trimaran.netbench-url.yaml
682,TSVC.ControlLoops-dbl.yaml
682,TSVC.ControlLoops-flt.yaml
649,TSVC.CrossingThresholds-dbl.yaml
649,TSVC.CrossingThresholds-flt.yaml
624,TSVC.Equivalencing-dbl.yaml
679,TSVC.Expansion-dbl.yaml
679,TSVC.Expansion-flt.yaml
661,TSVC.GlobalDataFlow-flt.yaml
622,TSVC.IndirectAddressing-dbl.yaml
622,TSVC.IndirectAddressing-flt.yaml
653,TSVC.InductionVariable-dbl.yaml
653,TSVC.InductionVariable-flt.yaml
709,TSVC.LinearDependence-dbl.yaml
709,TSVC.LinearDependence-flt.yaml
595,TSVC.LoopRerolling-dbl.yaml
672,TSVC.LoopRestructuring-dbl.yaml
613,TSVC.NodeSplitting-dbl.yaml
596,TSVC.Packing-flt.yaml
586,TSVC.Recurrences-dbl.yaml
724,TSVC.Reductions-dbl.yaml
724,TSVC.Reductions-flt.yaml
586,TSVC.Searching-dbl.yaml
586,TSVC.Searching-flt.yaml
586,TSVC.StatementReordering-dbl.yaml
586,TSVC.StatementReordering-flt.yaml
617,TSVC.Symbolics-dbl.yaml
231,VersaBench.beamformer.yaml
59,VersaBench.bmm.yaml
1169,VersaBench.dbms.yaml
63291,total
