num_nodes,name
82,MiBench.automotive-basicmath-large.ll
62,MiBench.automotive-basicmath-small.ll
74,MiBench.automotive-bitcount.ll
17,MiBench.automotive-qsort-small.ll
698,MiBench.automotive-susan-c.ll
698,MiBench.automotive-susan-e.ll
698,MiBench.automotive-susan-s.ll
5615,MiBench.consumer-jpeg-c.ll
5419,MiBench.consumer-jpeg-d.ll
3038,MiBench.consumer-lame.ll
51,MiBench.network-dijkstra.ll
149,MiBench.network-patricia.ll
147,MiBench.office-stringsearch-large.ll
147,MiBench.office-stringsearch-small.ll
147,MiBench.security-rijndael-d.ll
147,MiBench.security-rijndael-e.ll
56,MiBench.security-sha.ll
23,MiBench.telecomm-CRC32.ll
89,MiBench.telecomm-FFT.ll
17357,total
